Image, Date, Time, Cloud_Coverage 
2016-03-24-08-02-04-wahrsis3.jpg,2016:03:24,08:02:04,0.472192
2016-03-24-08-04-05-wahrsis3.jpg,2016:03:24,08:04:05,0.469932
2016-03-24-08-06-04-wahrsis3.jpg,2016:03:24,08:06:04,0.466428
2016-03-24-08-08-04-wahrsis3.jpg,2016:03:24,08:08:04,0.478648
2016-03-24-08-10-05-wahrsis3.jpg,2016:03:24,08:10:05,0.481804
2016-03-24-08-12-05-wahrsis3.jpg,2016:03:24,08:12:05,0.480312
2016-03-24-08-14-05-wahrsis3.jpg,2016:03:24,08:14:05,0.483492
2016-03-24-08-16-04-wahrsis3.jpg,2016:03:24,08:16:04,0.492492
2016-03-24-08-18-05-wahrsis3.jpg,2016:03:24,08:18:05,0.51254
2016-03-24-08-20-05-wahrsis3.jpg,2016:03:24,08:20:05,0.527468
2016-03-24-08-22-05-wahrsis3.jpg,2016:03:24,08:22:05,0.509604
2016-03-24-08-24-05-wahrsis3.jpg,2016:03:24,08:24:05,0.48834
2016-03-24-08-26-04-wahrsis3.jpg,2016:03:24,08:26:04,0.50712
2016-03-24-08-28-05-wahrsis3.jpg,2016:03:24,08:28:05,0.509096
2016-03-24-08-30-04-wahrsis3.jpg,2016:03:24,08:30:04,0.470072
2016-03-24-08-32-05-wahrsis3.jpg,2016:03:24,08:32:05,0.4643
2016-03-24-08-34-05-wahrsis3.jpg,2016:03:24,08:34:05,0.464396
2016-03-24-08-36-04-wahrsis3.jpg,2016:03:24,08:36:04,0.472776
2016-03-24-08-38-04-wahrsis3.jpg,2016:03:24,08:38:04,0.483148
2016-03-24-08-40-05-wahrsis3.jpg,2016:03:24,08:40:05,0.497416
2016-03-24-08-42-05-wahrsis3.jpg,2016:03:24,08:42:05,0.491572
2016-03-24-08-44-04-wahrsis3.jpg,2016:03:24,08:44:04,0.482384
2016-03-24-08-46-05-wahrsis3.jpg,2016:03:24,08:46:05,0.46026
2016-03-24-08-48-05-wahrsis3.jpg,2016:03:24,08:48:05,0.436616
2016-03-24-08-50-04-wahrsis3.jpg,2016:03:24,08:50:04,0.437828
2016-03-24-08-52-04-wahrsis3.jpg,2016:03:24,08:52:04,0.463012
2016-03-24-08-54-04-wahrsis3.jpg,2016:03:24,08:54:04,0.464008
2016-03-24-08-56-05-wahrsis3.jpg,2016:03:24,08:56:05,0.484924
2016-03-24-08-58-04-wahrsis3.jpg,2016:03:24,08:58:04,0.518692
2016-03-24-09-02-05-wahrsis3.jpg,2016:03:24,09:02:05,0.547496
2016-03-24-09-04-04-wahrsis3.jpg,2016:03:24,09:04:04,0.556356
2016-03-24-09-06-05-wahrsis3.jpg,2016:03:24,09:06:05,0.557836
2016-03-24-09-08-05-wahrsis3.jpg,2016:03:24,09:08:05,0.56442
2016-03-24-09-10-04-wahrsis3.jpg,2016:03:24,09:10:04,0.556212
2016-03-24-09-12-05-wahrsis3.jpg,2016:03:24,09:12:05,0.573184
2016-03-24-09-14-05-wahrsis3.jpg,2016:03:24,09:14:05,0.565116
2016-03-24-09-16-04-wahrsis3.jpg,2016:03:24,09:16:04,0.56086
2016-03-24-09-18-05-wahrsis3.jpg,2016:03:24,09:18:05,0.57974
2016-03-24-09-20-05-wahrsis3.jpg,2016:03:24,09:20:05,0.607068
2016-03-24-09-22-05-wahrsis3.jpg,2016:03:24,09:22:05,0.612848
2016-03-24-09-24-05-wahrsis3.jpg,2016:03:24,09:24:05,0.625364
2016-03-24-09-26-04-wahrsis3.jpg,2016:03:24,09:26:04,0.660812
2016-03-24-09-28-05-wahrsis3.jpg,2016:03:24,09:28:05,0.619624
2016-03-24-09-30-05-wahrsis3.jpg,2016:03:24,09:30:05,0.634524
2016-03-24-09-32-05-wahrsis3.jpg,2016:03:24,09:32:05,0.703752
2016-03-24-09-34-05-wahrsis3.jpg,2016:03:24,09:34:05,0.722212
2016-03-24-09-36-05-wahrsis3.jpg,2016:03:24,09:36:05,0.739224
2016-03-24-09-38-04-wahrsis3.jpg,2016:03:24,09:38:04,0.815368
2016-03-24-09-40-04-wahrsis3.jpg,2016:03:24,09:40:04,0.784636
2016-03-24-09-42-05-wahrsis3.jpg,2016:03:24,09:42:05,0.694872
2016-03-24-09-44-05-wahrsis3.jpg,2016:03:24,09:44:05,0.63706
2016-03-24-09-46-04-wahrsis3.jpg,2016:03:24,09:46:04,0.574868
2016-03-24-09-48-05-wahrsis3.jpg,2016:03:24,09:48:05,0.594616
2016-03-24-09-50-05-wahrsis3.jpg,2016:03:24,09:50:05,0.59288
2016-03-24-09-52-04-wahrsis3.jpg,2016:03:24,09:52:04,0.608516
2016-03-24-09-54-04-wahrsis3.jpg,2016:03:24,09:54:04,0.617264
2016-03-24-09-56-05-wahrsis3.jpg,2016:03:24,09:56:05,0.620712
2016-03-24-09-58-05-wahrsis3.jpg,2016:03:24,09:58:05,0.644392
2016-03-24-10-00-24-wahrsis3.jpg,2016:03:24,10:00:24,0.66634
2016-03-24-10-00-44-wahrsis3.jpg,2016:03:24,10:00:44,0.670208
2016-03-24-10-01-23-wahrsis3.jpg,2016:03:24,10:01:23,0.664504
2016-03-24-10-01-43-wahrsis3.jpg,2016:03:24,10:01:43,0.672
2016-03-24-10-02-03-wahrsis3.jpg,2016:03:24,10:02:03,0.672648
2016-03-24-10-02-23-wahrsis3.jpg,2016:03:24,10:02:23,0.6765
2016-03-24-10-02-43-wahrsis3.jpg,2016:03:24,10:02:43,0.677324
2016-03-24-10-03-03-wahrsis3.jpg,2016:03:24,10:03:03,0.68126
